S. no,Name,Brand,Image,,Country,Sport,Gender,MRP,Sizes,Colours,Amazon Link,Price,Available sizes,Flipkart Link,Price,Available sizes,Myntra Link,Price,Available sizes,Tata Cliq Link,Price,Available sizes,NBA Store Link,Price,Available sizes,Ajio Link,Price,Available sizes,Superkicks Link,Price,Available sizes,Official Website,Price,Available sizes,Foot Type,Foot Width,Injury History,Playing Surface,Playing Style,Playing Position,Shoe Preference,Player Level,Product Analysis Note
20,"ADIDAS 
Court Glide M Basketball Shoes For Men  (Blue , 10)",ADIDAS,,,,Basketball,Men/Unisex,4999,"6,7,8,9,10,11,12",Blue,NA,NA,NA,https://www.flipkart.com/adidas-court-glide-m-basketball-shoes-men/p/itme815c57fc5622?pid=SHOG9XNXRC9ZUWHC&lid=LSTSHOG9XNXRC9ZUWHCB22RCE&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_3&otracker=browse&fm=organic&iid=ec65eb4d-8a5c-4557-871c-68adbb65e6e6.SHOG9XNXRC9ZUWHC.SEARCH&ppt=sp&ppn=productListView,2449,"6,7,8,9,10",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Flat Foot,Regular,Impact Protection,Indoor Court,All-Rounder,Small Forward,Supportive,Beginner,
21,Adidas Mens Midcity Mid Basketball Shoes,ADIDAS,,,India,Basketball,Men/Unisex,7599,"4,5,6,7,8,9,10,11,12,13,14","FTWWHT,FTWWHT,GREONE",https://amzn.to/4lNy80e,4599,5,NA,NA,NA,NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Neutral,Narrow,Impact Protection,Indoor Court,All-Rounder,Hybrid,Supportive,Beginner,
22,adidas Unisex-Adult Pro N3xt 2021 Basketball Shoe,ADIDAS,,,,Basketball,Unisex,24789,"4,5,6,7,8,9,10,11,12,13,14",Whote,https://amzn.to/4izelyL,14815,"9.5,8.5",NA,NA,NA,NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,Na,Na,Neutral,Narrow,Protection,Indoor Court,All-Rounder,Hybrid,Supportive,Intermediate,
23,SKX RESAGRIP- Basketball,Skechers,,,India,Basketball,Men/Unisex,17999,"7,8,9,10,11,12,13",Blue,NA,NA,Na, https://www.flipkart.com/skechers-mens-skx-resagrip-basketball-blue-navy-sports-lace-up-shoe-shoes-men/p/itmb3e6571d3597b?pid=SHOH6WD93Z8XFYBS&lid=LSTSHOH6WD93Z8XFYBSEF2VWA&marketplace=FLIPKART&cmpid=content_shoe_8965229628_gmc&gPromoCode=nb-mp-0324415524,17999,"6,7,8,9,10",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,https://www.skechers.in/skx-resagrip--basketball/253007-BLNV.html,17999,"8,9,10,11",Neutral,Narrow,Basic Protection,Indoor Court,All-Rounder,Small Forward,Supportive,Beginner,
24,Skechers Mens SKX RESAGRIP- Basketball Sports Lace Up Shoe,Skechers,,,,Basketball,Men/Unisex,17999,"6,7,8,9,10,11,12",Black,https://amzn.to/4jno3Fv,17999,"7,8,9,10,11,",NA,NA,NA,https://www.myntra.com/sports-shoes/skechers/skechers-skx-resagrip-men-basketball-sports-shoes/33657966/buy,17999,"6,7,8,9,10",NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,NA,Na,Neutral,Narrow,Stability,Indoor Court,All-Rounder,Small Forward,Supportive,Beginner,
25,SKX Resagrip Men Lace Up Sports Shoes,Skechers,,,India,Basketball,Men/Unisex,18999,"6,7,8,9,10",Orange,NA,NA,Na,NA,NA,NA,https://www.myntra.com/sports-shoes/skechers/skechers-skx-resagrip-men-lace-up-sports-shoes/33657973/buy?utm_source=dms_google&utm_medium=pmax_cpc&utm_campaign=dms_google_pmax_cpc_Myntra_SOK_Premium_Users_New&keyword=&matchtype=&target=&placement=&gad_source=1&gbraid=0AAAAADoxBh6jWEgRpPxAc9yDOeQ92INEm&gclid=Cj0KCQjw5azABhD1ARIsAA0WFUGvAvccaNu8eKhnUpanYrtAWPS222r0lJeH7WFbJuUFNoiSchYUMCYaAsC6EALw_wcB,18999,"6,7,8,9,10",NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,NA,Na,Neutral,Narrow,Stability,Indoor Court,All-Rounder,Small Forward,Supportive,Beginner,
26,Skechers Skechers Mens Skx Resagrip- Basketball White Black Red Sports Lace Up Shoe Basketball Shoes ,Skechers,,,,Basketball,Men/Unisex,17999,"6,7,8,9,10,11",Multicolor,NA,NA,Na,https://www.flipkart.com/skechers-mens-skx-resagrip-basketball-white-black-red-sports-lace-up-shoe-shoes-men/p/itmbb1854ee649c2?pid=SHOH6WEGQDD3JGSY&lid=LSTSHOH6WEGQDD3JGSYEXIY87&marketplace=FLIPKART&cmpid=content_shoe_8965229628_gmc,17999,"7,8,9,10,11",NA,NA,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,NA,Na,Neutral arch.,Regular,Minimal support,Indoor,All-round,Guard Wing,"Lightweight, low-mid cut",Beginner Intermediate,
27,Skechers SKX Float Men Mid-Top Lace-Ups Basketball Shoes(7) ,Skechers,,,India,Basketball,Men/Unisex,18999,"6,7,8,9,10",Black,NA,NA,Na,NA,N,NA,https://www.myntra.com/sports-shoes/skechers/skechers-skx-float-men-mid-top-lace-ups-basketball-shoes/33657969/buy,18999,"6,7,8,9,10",NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,NA,Na,Neutral to High Arches:,Standard Width,Stability,Indoor Courts,Stability,Centers,Performance Oriented,Intermediate to Advanced,
28,"Skechers Mens SKX RESAGRIP- Basketball Blue Black Sports Lace Up Shoe Basketball Shoes For Men  (Blue , 8)",Skechers,,,,Basketball,Men/Unisex,17999,"6,7,8,9,10,11",Blue,NA,NA,Na,https://www.flipkart.com/skechers-mens-skx-resagrip-basketball-blue-black-sports-lace-up-shoe-shoes-men/p/itmd53328b310057?pid=SHOH6WD9A9ZNYPUU&lid=LSTSHOH6WD9A9ZNYPUUKXPF3Q&marketplace=FLIPKART&sattr[]=color&st=color,17999,"8,9,10",NA,M,NA,NA,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,Na,NA,Na,Neutral to High Arches,Standard Width,Cushioning:,Indoor Courts,Speed-Oriented,"Guards , Forwards",Performance Oriented,Intermediate to Advanced,
29,"PUMA 
MB.04 DIP Basketball Shoes For Men",Puma,,,India,Basketball,Men/Unisex,12999,"5.5,6,6.5,7,7.5,8,8.5,9,8.5,10,,11,12.13",Pink,NA,NA,Na,https://www.flipkart.com/puma-mb-04-dip-basketball-shoes-men/p/itmbf5a79eef7770?pid=SHOH4EHFEBJ4QVHA&lid=LSTSHOH4EHFEBJ4QVHASETYPA&marketplace=FLIPKART&cmpid=content_shoe_8965229628_gmc&gPromoCode=nb-mp-0324415524,12999,"6,6.5,7,7.5",NA,M,NA,NA,Na,Na,https://www.nbastore.in/products/puma-lamelo-ball-mb04-iridescent-hornets-basketball-shoes-pink-pink,12999,"7,8",,,,,,,,,,Neutral to High Arches,Standard Width,Ankle Support:,Indoor Courts,Speed-Oriented ,"Guards ,Forwards",Performance Oriented,Intermediate to Advanced:,
